Código IBGE do Município;Sigla da Unidade da Federação;População residente, Homens, Rural, 0 a 4 anos;População residente, Homens, Rural, 5 a 9 anos;População residente, Homens, Rural, 10 a 14 anos;População residente, Homens, Rural, 15 a 19 anos;População residente, Homens, Rural, 20 a 24 anos;População residente, Homens, Rural, 25 a 29 anos;População residente, Homens, Rural, 30 a 39 anos;População residente, Homens, Rural, 40 a 49 anos;População residente, Homens, Rural, 50 a 59 anos;População residente, Homens, Rural, 60 a 69 anos;População residente, Homens, Rural, 70 anos ou mais;População residente, Homens, Urbana, 0 a 4 anos;População residente, Homens, Urbana, 5 a 9 anos;População residente, Homens, Urbana, 10 a 14 anos;População residente, Homens, Urbana, 15 a 19 anos;População residente, Homens, Urbana, 20 a 24 anos;População residente, Homens, Urbana, 25 a 29 anos;População residente, Homens, Urbana, 30 a 39 anos;População residente, Homens, Urbana, 40 a 49 anos;População residente, Homens, Urbana, 50 a 59 anos;População residente, Homens, Urbana, 60 a 69 anos;População residente, Homens, Urbana, 70 anos ou mais;População residente, Mulheres, Rural, 0 a 4 anos;População residente, Mulheres, Rural, 5 a 9 anos;População residente, Mulheres, Rural, 10 a 14 anos;População residente, Mulheres, Rural, 15 a 19 anos;População residente, Mulheres, Rural, 20 a 24 anos;População residente, Mulheres, Rural, 25 a 29 anos;População residente, Mulheres, Rural, 30 a 39 anos;População residente, Mulheres, Rural, 40 a 49 anos;População residente, Mulheres, Rural, 50 a 59 anos;População residente, Mulheres, Rural, 60 a 69 anos;População residente, Mulheres, Rural, 70 anos ou mais;População residente, Mulheres, Urbana, 0 a 4 anos;População residente, Mulheres, Urbana, 5 a 9 anos;População residente, Mulheres, Urbana, 10 a 14 anos;População residente, Mulheres, Urbana, 15 a 19 anos;População residente, Mulheres, Urbana, 20 a 24 anos;População residente, Mulheres, Urbana, 25 a 29 anos;População residente, Mulheres, Urbana, 30 a 39 anos;População residente, Mulheres, Urbana, 40 a 49 anos;População residente, Mulheres, Urbana, 50 a 59 anos;População residente, Mulheres, Urbana, 60 a 69 anos;População residente, Mulheres, Urbana, 70 anos ou mais;Total Homens;Total Mulheres;Total
311280;MG;0,006477927;0,019193858;0,015834933;0,012715931;0,013915547;0,011516315;0,034548944;0,033589251;0,034069098;0,020153551;0,016794626;0,053982726;0,045825336;0,064059501;0,067178503;0,061900192;0,065738964;0,122840691;0,114683301;0,091890595;0,046305182;0,046785029;0,012236084;0,015355086;0,02159309;0,016314779;0,005998081;0,013915547;0,031669866;0,028790787;0,019673704;0,011516315;0,007677543;0,044145873;0,048944338;0,05134357;0,057821497;0,065259117;0,060940499;0,123800384;0,11756238;0,097168906;0,060940499;0,051103647;4168;4017;8185
311290;MG;0,045043103;0,049353448;0,055818966;0,056034483;0,060775862;0,052155172;0,084482759;0,070689655;0,056465517;0,03512931;0,029741379;0,03512931;0,0375;0,041163793;0,035991379;0,024784483;0,026939655;0,056681034;0,053448276;0,036853448;0,027586207;0,028232759;0,047198276;0,045258621;0,054094828;0,048706897;0,038577586;0,04137931;0,083189655;0,07262931;0,042887931;0,029094828;0,032543103;0,020474138;0,032974138;0,037068966;0,035560345;0,038146552;0,029310345;0,055603448;0,050862069;0,049353448;0,029741379;0,031465517;4640;4390;9030
311300;MG;0,062931492;0,063905116;0,081430342;0,081872898;0,066029386;0,054611436;0,078863516;0,067799611;0,055408037;0,043104974;0,03708621;0,028854665;0,041777306;0,030270844;0,025579749;0,024163569;0,024075058;0,036909187;0,034696406;0,02920871;0,017436714;0,013984776;0,068065144;0,066117897;0,080368207;0,070012392;0,054168879;0,03708621;0,07629669;0,067534077;0,056470172;0,032218092;0,039653036;0,020534608;0,032660648;0,03354576;0,030005311;0,02920871;0,032041069;0,0377943;0,035404496;0,029562754;0,022924411;0,025933794;11298;11045;22343
311310;MG;0,028026237;0,039355993;0,064400716;0,066189624;0,044722719;0,041144902;0,093023256;0,082289803;0,076923077;0,055456172;0,047107931;0,025641026;0,037567084;0,036374478;0,034585569;0,029815146;0,031007752;0,035181872;0,060226595;0,038163387;0,017889088;0,014907573;0,030411449;0,036374478;0,056648778;0,06320811;0,056052475;0,047107931;0,079904592;0,099582588;0,069171139;0,036374478;0,047107931;0,023852117;0,031604055;0,029815146;0,017889088;0,019081694;0,020870602;0,064400716;0,040548599;0,035778175;0,022659511;0,032796661;1677;1612;3289
311320;MG;0,015914202;0,019806262;0,022487459;0,014097907;0,016346653;0,017730496;0,034855561;0,033125757;0,026120048;0,015741221;0,012454593;0,049818371;0,053710431;0,066424494;0,082511676;0,070921986;0,066597474;0,109150666;0,113042726;0,086836188;0,048521017;0,023784812;0,011070749;0,018249438;0,014357378;0,019719772;0,018681889;0,016952084;0,034942052;0,034596091;0,021968518;0,010551808;0,014789829;0,048780488;0,056651098;0,066770455;0,06867324;0,063051375;0,059678256;0,121172807;0,119788964;0,090555267;0,057861962;0,050423802;11562;11785;23347
311330;MG;0,010832855;0,016567897;0,018288409;0,020646148;0,022302938;0,014528771;0,027145861;0,032689734;0,02402345;0,015994392;0,009176066;0,050086026;0,054291722;0,067609762;0,065379469;0,06161983;0,06780093;0,112406806;0,104059135;0,092206716;0,057286688;0,055056395;0,012680813;0,017714905;0,017778627;0,018479577;0,011788696;0,018734468;0,028675206;0,023641114;0,016567897;0,012553368;0,006627159;0,051933983;0,05257121;0,069712611;0,065952973;0,066399031;0,05970815;0,123494552;0,126362072;0,112151915;0,070286115;0,074300644;15693;16605;32298
311340;MG;0,011327094;0,014662827;0,016342693;0,01487881;0,017470602;0,015790737;0,028437725;0,027093832;0,019174466;0,013558915;0,009743221;0,059947204;0,066138709;0,075953924;0,07199424;0,068706503;0,067938565;0,125821934;0,103215743;0,080921526;0,047180226;0,043700504;0,011831054;0,012814975;0,014686825;0,015886729;0,01550276;0,014950804;0,022414207;0,022534197;0,017446604;0,011231102;0,006575474;0,057427406;0,064338853;0,072666187;0,072066235;0,075401968;0,074538037;0,138924886;0,115646748;0,092992561;0,057331413;0,058315335;41670;43567;85237
311350;MG;0,023931624;0,020726496;0,027564103;0,022435897;0,019444444;0,009401709;0,040384615;0,049358974;0,033333333;0,02457265;0,016666667;0,042307692;0,060683761;0,076282051;0,091880342;0,062179487;0,071581197;0,098931624;0,086324786;0,055982906;0,033760684;0,032264957;0,008974359;0,018376068;0,03034188;0,022435897;0,00982906;0,013461538;0,022008547;0,034401709;0,023504274;0,021153846;0,022649573;0,054487179;0,064102564;0,070512821;0,078632479;0,067948718;0,058760684;0,104700855;0,086965812;0,060042735;0,039529915;0,041666667;4680;4467;9147
311360;MG;0,018610422;0,017990074;0,023263027;0,019230769;0,024503722;0,016439206;0,039702233;0,033808933;0,038151365;0,024503722;0,017059553;0,048387097;0,053970223;0,065136476;0,071650124;0,05366005;0,056141439;0,109801489;0,099875931;0,080024814;0,047766749;0,040322581;0,013647643;0,019230769;0,024813896;0,010545906;0,018610422;0,016129032;0,038771712;0,027295285;0,026985112;0,01426799;0,011476427;0,054280397;0,065756824;0,055210918;0,055210918;0,046836228;0,066997519;0,108870968;0,095533499;0,078784119;0,049937965;0,054900744;3224;3076;6300
311370;MG;0,02778333;0,02898261;0,032780332;0,032080752;0,035078953;0,025184889;0,057265641;0,050569658;0,034479312;0,02728363;0,020187887;0,038277034;0,045472716;0,060863482;0,061163302;0,049570258;0,048970618;0,085948431;0,077753348;0,069258445;0,036677993;0,05436738;0,022586448;0,02658405;0,033579852;0,02838297;0,039076554;0,02768339;0,043573856;0,041974815;0,031581051;0,024385369;0,018688787;0,033479912;0,043373976;0,052568459;0,066660004;0,048370977;0,049870078;0,091245253;0,087647412;0,075554667;0,060663602;0,058065161;10006;10062;20068
