Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
110001;RO;7067,025;7;0,641;4212;1099;2808;13743,5;12656;11736;7029;14464;67;6561;190,67;455;1118,83;2076,85;9667;59;13470;2925;3121;801;15,8;12;2,3;10
110002;RO;4426,571;16;0,702;16733;4196;18433;14315,2;45543;44810;29045;36570;706;30426;300;510;1640,23;2451,73;40624;672;40351;12630;16799;4275;11,8;7,9;2,9;13,3
110003;RO;1314,362;6;0,65;950;268;508;15755,15;3266;3047;1859;3857;3;1803;255;440;1263,07;1771,07;2687;3;3487;730;840;193;17,5;13,6;1,8;7,1
110004;RO;3792,801;14;0,718;12798;4161;16163;14865,49;39124;39450;25865;33535;447;30675;270;510;1630,31;2658,52;36067;535;36674;12244;12943;4090;12,1;8,3;2;12,4
110005;RO;2783,3;7;0,692;2592;752;2230;15996,62;8551;8478;5152;10100;34;5090;377,5;450;1404;1922,97;7609;143;8642;2256;2562;765;13,9;10,3;2,1;13,1
110006;RO;1451,061;7;0,685;2658;1148;2294;12158,75;9330;9261;5858;10722;34;5247;306;466,67;1233,75;1834,17;7931;70;9422;2425;2799;951;15,1;12,4;2,1;11,6
110007;RO;3060,321;1;0,613;1438;392;839;22160,19;4711;4072;2487;5810;10;2085;300;430;1269,7;1563,19;4001;35;5220;1319;626;245;17,5;12,6;1,7;6,1
110008;RO;4987,177;9;0,611;3032;572;1017;9884,41;7202;6476;4961;8630;20;4152;255;306;1225,68;1471,71;5927;5;7283;1606;1379;356;16;8,6;2,8;9,6
110009;RO;4518,034;9;0,672;4953;1311;4444;12759,39;14606;14123;8204;12636;27;11831;278;480;1478,92;2200,08;13924;31;15087;4397;3197;1075;15,3;11,4;1,8;10,6
110010;RO;24855,724;13;0,657;8809;1638;4207;15611,15;20947;20709;14904;24068;125;12622;127,5;392,5;867,56;2031,29;14918;20;19374;5749;6233;1504;11,7;8,1;2,6;14,2
110011;RO;2944,128;17;0,689;8973;2373;8660;15266,27;26005;26000;17173;21860;133;20107;307,5;503,33;1355,25;2127,04;22544;265;26209;6725;7509;2193;15,2;10,7;2,1;12,3
110012;RO;6896,738;29;0,714;19486;5188;27399;14464,73;57824;58786;35656;47300;628;45727;300;510;1231,89;2530,34;53376;1377;50280;17428;23179;5966;11,4;7,8;2,1;13,8
110013;RO;8509,314;14;0,596;6168;1078;3079;10234,83;16536;14599;9473;13445;222;10459;194,5;400;1202,69;1698,1;14019;68;17965;3499;2747;667;16,4;12;2,2;8,8
110014;RO;1703,008;3;0,643;3113;1014;1856;9791,51;10344;9530;6113;9781;.;6697;250;469,67;1626,11;1824,09;9552;61;11061;2707;2355;546;16,3;11,3;2;8,2
110015;RO;1969,85;18;0,682;6232;1401;6403;12449,57;18698;19230;11957;17028;80;13647;336,67;500;1452,19;2044,45;16686;386;19486;5226;5571;1460;14,1;10,4;2,3;14,2
110018;RO;6240,932;6;0,71;5706;1468;8538;20393,51;17041;16781;10829;15886;138;11615;340;500;1314,69;2658,07;16023;333;15517;4875;5940;1592;12,9;8,4;2,5;13,1
110020;RO;34096,388;99;0,736;82969;16058;203103;17636,36;217618;210909;142118;207296;4855;138587;450;583,33;1704,9;3458,78;199634;612;162564;61084;99657;30496;8,2;5,1;3;14,6
110025;RO;1758,465;9;0,664;3484;886;2458;12068,42;11309;11010;6824;11425;55;7276;274,29;456,67;1285,39;2049,77;10296;163;12115;3090;2855;692;17,2;12,2;2,4;11,2
110026;RO;1717,64;3;0,643;657;112;353;21768,92;1767;1549;974;1756;.;1208;252,5;498,86;1355,71;1836,78;1214;.;1836;374;430;65;16;13,3;3,2;5,7
110028;RO;1457,888;5;0,7;8725;2425;9990;12155,13;25170;25478;15704;24081;163;16830;325;507;1306,43;2265,31;22322;445;24187;7079;8698;2560;14,5;9;2,1;12,6
110029;RO;1197,796;2;0,67;1247;354;987;13204,85;4596;4290;2536;4996;.;2647;275;466,67;1238,55;1862,17;3847;47;4712;1265;1267;300;18;13;2,1;9,8
110030;RO;11518,941;27;0,731;12887;3352;20015;18575,61;37782;38420;25669;36194;733;27441;347,33;527,5;1177,96;2559,76;35880;1000;31695;11671;14975;4822;9,6;6,1;2,2;13,9
110032;RO;7460,219;4;0,646;3991;1004;2464;18017,34;11328;10500;6723;11989;.;6907;192,5;494;1186,08;2258,78;9733;54;12019;2882;2434;464;16;10,8;2,4;7,6
110033;RO;10071,643;6;0,587;5011;656;1930;11352,56;11735;10811;7688;10413;.;7906;175;333,33;1111;1578,87;9651;11;13076;2338;1690;431;17;13,1;2,2;7,7
110034;RO;3029,189;8;0,643;2820;764;1306;10630,27;8678;8175;4999;8903;16;5252;250;450;1148,82;1978,22;7013;35;9133;2433;1896;556;15,9;12,9;2,1;10
110037;RO;3958,273;2;0,592;2306;557;1060;12398,66;6739;6077;3658;7254;4;3571;233,33;431;1071,01;1723,14;5643;26;7665;1439;1090;223;17,5;13,5;1,9;6,8
110040;RO;2651,822;6;0,625;3186;678;1848;11758,66;9022;8113;5185;9421;38;4545;287,75;452,75;1260,81;2224,31;8623;5;10092;1800;1661;285;16,2;11,8;2,4;7,2
110045;RO;3265,809;5;0,616;6929;1352;4102;11423,31;16741;15642;9698;12853;82;12773;272,33;416;1214,4;1840,75;15514;87;17825;3913;3568;728;14,1;9,9;2,1;7,9
110050;RO;843,446;2;0,634;1533;625;821;11633,47;5336;4904;3147;5116;18;3489;236;455;1199,78;1523,3;4376;6;5787;1432;1132;255;17,5;14,4;1,6;6,8
110060;RO;1961,778;3;0,646;1026;208;489;20662,43;2965;2771;1746;3071;.;1607;316,8;402;1819,25;1610,69;2772;46;3299;663;565;151;16;13,2;1,8;6,3
110070;RO;3442,005;3;0,593;2453;351;1071;12058,71;6768;5897;3488;4932;13;4646;212,5;480;1195,37;3670,99;5376;.;7507;1499;757;217;17,9;12,3;2,5;5,5
110080;RO;6843,868;4;0,649;4120;548;1736;13275,45;10320;9459;6418;9273;123;6196;287,5;437,5;1339,31;1914,7;5889;78;9935;2637;2750;427;16,8;11;3,3;10,3
110090;RO;892,842;2;0,658;669;145;399;15915,73;1829;1746;1113;2184;.;802;333,33;510;1364,26;2005,07;1634;1;1963;546;433;92;14,7;14,3;1,8;5,7
110092;RO;5126,723;4;0,652;1787;435;1774;28917,16;4415;3886;2941;4525;9;2279;333,33;510;1559,73;1899,19;4189;17;4423;1208;837;218;15,9;10,3;1,9;5,9
110094;RO;3863,943;1;0,612;3259;448;2108;12594,91;8456;7398;4678;6843;6;4853;250;440;1228,03;1975,15;6968;20;8945;1907;1390;184;17,9;12;2,2;6,3
110100;RO;5067,384;4;0,596;1929;472;548;12972,59;5470;5042;3326;5804;23;2905;253,33;366,67;1392,26;1565,34;4435;5;6354;1372;779;180;20;13,5;1,9;7,9
110110;RO;4081,583;2;0,614;1798;261;1280;10993,74;4565;4001;2740;3022;21;3346;278;393,21;1108,09;1621,38;3747;21;4831;1019;852;178;18,3;12,8;3,2;10,6
110120;RO;798,083;2;0,638;1645;288;872;12155,75;5304;5048;3312;5271;5;3500;268;391,67;1659,84;1688,6;4371;30;5528;1503;1185;269;17,9;12,7;1,7;6,5
110130;RO;1191,875;5;0,643;2208;751;1213;11218,59;6049;5829;3786;5261;4;4050;258,33;340;1428,99;2124,34;5277;16;6839;1695;995;275;19,9;13,5;1,7;10,8
110140;RO;1931,378;8;0,607;2882;610;1644;12280,58;7408;6683;4127;6433;27;4837;278;442,5;1273,06;1813,57;6454;10;8085;1612;1204;432;16,5;14,5;2,5;8,3
110143;RO;807,126;3;0,587;1360;372;518;10232,03;3999;3494;2246;3740;.;2382;255;404;1254,31;1388,72;3789;6;4590;918;603;114;17,7;13,6;2,1;8,3
110145;RO;2548,683;1;0,617;739;180;531;17081,07;2595;2215;1310;2708;.;1202;222,5;367,67;1069,74;1691,63;1964;7;2744;585;432;136;22,3;14,7;1,5;6,5
110146;RO;6014,733;2;0,665;410;93;264;38411,33;1218;1097;702;1617;.;516;382,5;422,8;1657,12;1671,58;993;3;1128;323;318;84;14,7;9,5;2,5;10,1
110147;RO;605,692;3;0,641;698;184;247;12959,18;1856;1668;1212;2212;.;698;325;464;1520,1;1437,05;1228;3;2115;467;326;69;15,4;13,4;2,1;9,3
110148;RO;541,647;2;0,649;968;290;466;12477,45;3086;2932;1753;3697;.;1662;255;500;1126,23;1616,35;2434;26;3386;801;725;194;17,7;14,7;2,1;6,7
110149;RO;10959,767;12;0,611;3066;706;1622;13827,89;8415;7620;4870;7697;11;5701;243;407,33;1276,06;1972,06;7677;18;8865;2091;1514;426;14,6;9,6;1,8;9,3
110150;RO;3773,505;4;0,598;2293;558;1110;12547,37;6087;5542;3619;6058;.;4114;216,67;333,33;1343,25;2046,3;5845;4;6968;1583;756;181;15,4;10,6;1,5;8
110155;RO;459,978;1;0,643;838;283;556;12357,83;2540;2348;1456;2543;6;1285;406,8;403;1603,08;1490,2;2392;.;2920;643;470;100;17,6;13;2,4;8,8
110160;RO;2197,413;2;0,589;1929;419;677;13123,73;5653;4996;3322;5218;10;3704;255;403;1369,19;1589,98;4935;10;6559;1367;496;257;18,3;15,1;2,1;6,1
110170;RO;831,857;5;0,609;2202;537;1311;10164,77;6731;6243;3789;5489;6;4614;240;403,33;1102,12;1624,88;5891;55;7782;1677;1055;278;17,9;14,3;2,2;8,2
110175;RO;3135,143;1;0,584;1681;296;651;12111,79;4979;4405;2712;3708;.;3343;200;426,67;1193,17;1743,36;4235;15;5533;1082;773;223;20,1;15,1;2,6;6,9
110180;RO;965,676;4;0,627;1478;428;685;11831,06;4244;3966;2495;4254;5;2735;250;360,83;1387,47;1878;2919;.;4790;1020;846;163;18,2;12,9;2,1;9,8
120001;AC;1807,916;8;0,604;2844;645;811;14957,09;6592;5946;4187;5314;38;4548;180,56;300;943,28;1389,01;4380;9;6785;1499;1276;277;26,7;15,6;3,6;9,1
120005;AC;4974,176;5;0,588;2198;301;357;8994,62;3091;2981;2121;2992;13;1754;20;339;772,37;1542,83;1887;32;2952;805;693;140;29,1;21,7;2,6;12,6
120010;AC;3916,495;12;0,614;4497;1081;1591;10647,26;11037;10361;6987;13290;103;5608;120;287;976,26;1536,6;7138;281;11367;2308;2504;715;24,5;18,1;3;12,6
120013;AC;3034,869;2;0,589;2111;422;463;16296,41;4569;3902;2919;4212;14;2943;192,67;326,67;1034,61;1613,41;2906;2;4723;973;737;187;38,8;24,9;3,4;9,1
120017;AC;1702,577;5;0,575;2321;338;619;15532,97;4655;4143;3165;4105;.;3375;202;340;952,16;1737,25;3727;.;5131;871;586;151;37,7;21,8;3,5;10,6
120020;AC;8779,391;40;0,664;19985;5109;7947;10642,95;39220;39287;31025;51963;382;20889;130,75;331,67;969,9;2318,7;26879;211;35526;9575;11706;2874;28,5;18,5;2,7;13,3
120025;AC;1654,768;8;0,653;2750;768;1279;9913,33;7626;7474;5598;8345;64;4833;150;350;814,69;1977,26;5142;183;7360;1772;2173;544;24,6;16,3;2,9;13,2
120030;AC;27974,89;10;0,539;7926;1104;1735;8187,02;16716;15696;12163;21717;.;8498;28;255;610,15;1777,65;10356;.;17763;2568;2521;621;52,6;34,7;2,6;9,8
120032;AC;5357,282;5;0,469;2677;259;498;7403,95;3412;3165;3087;5533;41;778;28;207;569,42;1727,64;1669;.;3540;370;298;64;60,7;26,9;3,2;5,7
120033;AC;5453,073;15;0,625;3810;947;567;8110,93;7836;7370;6264;10222;5;4118;100;255;834,49;1660,24;4627;4;7074;1848;2074;310;31,6;23,8;2,3;10,7
120034;AC;10634,462;5;0,551;2083;238;508;8453,3;4255;3726;2490;4719;.;2270;66,67;290;668,51;1689,4;2881;3;4346;637;674;147;45,8;32,5;3,6;10,7
120035;AC;8191,694;7;0,501;4836;854;1231;7987,59;7463;6764;6748;11061;24;2671;75;200;783,82;1403,58;4997;5;7748;1203;611;116;52,6;34,4;2,1;6,1
120038;AC;1943,245;10;0,622;3641;846;1127;11635,92;8999;8210;6159;6787;71;5134;196;266,67;1051,48;1349,44;5246;36;8792;2089;2005;405;24,7;18,5;3,2;11,6
120039;AC;6443,826;4;0,532;2811;318;504;9466,12;4794;4382;4022;7899;10;1145;113,43;250;1023,93;1571,01;3375;.;4759;703;644;49;51,6;34,2;1,6;7,6
120040;AC;8835,541;95;0,727;63156;19473;100409;12838,52;163592;172446;118792;133926;3309;133632;216,5;450;1357,02;2770,79;137315;581;126759;49781;70620;24276;14;9;3;18
120042;AC;3076,95;6;0,567;3725;723;776;16375,92;7479;6910;6537;9125;7;4188;100;165,5;716,05;1485,14;4364;.;7363;1333;1221;229;49,9;31,3;2,4;8,3
120043;AC;6145,61;4;0,517;2054;171;211;7748,29;2406;2285;1980;3092;4;801;10,15;438;415,15;2102,77;1198;.;2317;350;368;42;56,8;27,6;1;6,4
120045;AC;2321,446;7;0,64;4679;865;1755;12315,41;10328;9851;7255;9827;49;6855;255;354;1305,11;1881,82;6662;77;10412;2394;2437;555;26,2;17,7;3,5;13,8
120050;AC;23751,474;14;0,603;8409;1788;1996;10356,72;19739;18290;12613;23162;.;10102;90;329,33;864,22;1651,25;14213;90;20337;3451;4816;705;34;24,8;3,1;12,9
120060;AC;20171,053;14;0,539;10637;1600;1817;8191,5;18353;17237;13563;24831;24;7331;66,67;255;699,28;1725,25;11429;.;18741;3613;2573;500;41,5;31,1;2,2;10,2
120070;AC;5347,446;9;0,599;3415;657;737;11040,95;8317;7774;5267;10984;20;3635;127,5;357,14;892,47;1672,83;6506;27;8717;1667;1688;449;29,4;22,2;3,4;15,1
120080;AC;2604,856;6;0,576;4125;766;579;10178,96;7845;7035;5221;7902;11;4482;233,33;255;1332,6;1066,75;4194;21;8554;1353;1352;194;31,4;23,5;3,6;9,9
130002;AM;5911,768;5;0,527;4092;673;638;4473,48;7416;6672;5671;10159;.;3600;86,4;157,14;827,74;1308,07;3517;.;7321;1106;956;196;25,1;20,6;2,7;6,7
130006;AM;4758,743;2;0,56;2593;335;286;4449,26;4902;4565;4324;5491;9;3318;31,33;142;540,37;1561;2177;16;5020;780;1078;143;26,3;22,4;3,3;4,2
130008;AM;2453,937;5;0,594;2350;598;363;4968,43;5446;4768;4040;6481;.;3028;114;253,33;917,39;1782,91;3810;.;4661;1203;1412;214;23,9;15,9;2,3;6,1
130010;AM;5795,311;3;0,561;2823;592;668;4488,1;8511;7806;5490;10944;5;4567;66,67;222,5;740,72;1511,75;5956;2;8589;2080;1359;284;25,6;19,6;2,2;6,7
130014;AM;54240,015;6;0,637;2581;578;1086;8855,06;9551;8456;6057;11799;.;4783;196,8;318,33;973,54;1995,77;7377;23;9689;2262;2024;399;19,9;10,8;2,9;6,9
130020;AM;76351,667;3;0,45;3731;450;791;4312,99;7852;7301;4671;7133;.;2288;20;188,33;867,24;1400,12;5103;.;9088;978;841;165;50,3;35,9;2,6;8
130030;AM;7599,363;10;0,577;8682;1713;867;6254,38;16989;15146;13364;15891;.;11222;127,43;218,33;963,61;1418,04;11173;20;16857;3490;2562;527;20,4;15,8;3,8;9,3
130040;AM;122476,123;10;0,5;3613;621;1114;3934,84;13816;11902;7148;16387;59;4519;0;252,5;742,36;1959,54;5934;3;15588;2444;1699;411;43,3;34;3,1;7,5
130050;AM;5750,565;6;0,574;8232;1881;1300;4344,22;14312;13043;12141;23317;8;3743;60;157,14;561,32;1173,48;8547;14;12460;3839;2567;353;17,3;10,3;3,6;7
130060;AM;8793,417;6;0,574;8692;2285;1839;4278,76;17260;16151;14020;19602;.;10518;83,33;216,55;809,88;1501,77;11419;26;16387;3525;3477;505;27,8;21,9;2,7;9,1
130063;AM;17250,721;2;0,506;5596;1036;96;6800,49;8146;7340;6302;8843;.;5433;47,5;200,67;731,15;1573,69;4853;6;8661;922;960;129;37,8;25,5;2,5;6,4
130068;AM;2586,846;3;0,565;3878;882;223;4052,89;7945;7034;6368;10894;.;3882;57,14;178;618,12;1400,92;4830;9;7475;1936;1282;192;11,1;8;4,1;7
130070;AM;21951,264;7;0,588;7060;1597;1742;5817,99;15947;14685;10268;17885;.;9660;103;250;708,43;1652,14;9844;23;16485;3237;2758;858;37;26,8;2,7;10,5
130080;AM;44251,745;7;0,56;8296;1397;1441;4960,88;18237;16724;13909;24589;6;8298;85,86;226,25;848,43;1730,15;11974;29;18424;3229;3158;420;21,1;15,8;3,7;8,6
130083;AM;9456,618;9;0,569;2640;452;702;5517,15;5812;5163;4432;6075;5;3622;102;230,4;1014,94;1572,86;3314;11;5936;839;1193;195;26,6;15,1;2,5;5,2
130090;AM;29819,714;3;0,53;2501;474;279;4785,91;6872;5866;4081;9223;.;2757;121,67;146,67;858,55;1128,06;4644;.;7437;1326;1104;180;39,7;29,5;2,6;5,3
130100;AM;25767,675;6;0,549;6492;1156;1186;4712,64;13259;12515;10000;17229;18;5614;96,67;186,17;766,19;1180,46;8549;30;13682;2642;1956;513;42,8;28,1;2,5;10,1
130110;AM;6091,554;16;0,557;6863;1453;1278;4988,38;16990;15744;11418;20221;.;9057;72,4;285;788,51;1626,63;8264;8;17377;4397;2784;403;25,6;13,8;2,5;6,4
130115;AM;2631,144;8;0,568;4352;1228;880;7183,86;12688;11242;8542;15467;17;7188;150;450;930,76;2050,17;7951;8;13290;2630;2432;386;21,9;16,5;2,6;5
130120;AM;57921,906;23;0,586;18496;3779;6401;18132,55;39476;36489;29433;53343;30;19880;80;287,5;1025,56;2084,55;25660;31;39946;7984;7777;1739;31,5;17;3,7;10,1
130130;AM;18711,552;9;0,563;4921;836;1013;5673,4;12107;11099;8095;14729;5;7752;66,67;187,14;625,32;1523,65;7548;.;12477;2108;2590;373;29,4;18,7;3,4;7
130140;AM;15011,774;5;0,563;8163;1208;1742;4317,7;15779;14886;12186;23465;13;6179;57,5;208;613,13;1468,82;11208;74;16255;2326;2855;684;47,1;33,2;2,6;10,5
130150;AM;7499,327;7;0,509;4018;346;819;5805,61;8392;7946;6306;11967;.;3040;26,8;177;508,75;1383,34;4587;.;9304;1133;1140;302;51,9;32,9;2,2;8,2
130160;AM;12110,929;5;0,53;5372;1103;969;5445,68;11824;10993;9017;16446;4;5579;28;191,25;731,55;1485,5;7630;5;12416;1943;1787;296;40,6;24,7;2,9;7,3
130165;AM;7578,876;3;0,532;3238;440;717;4388,41;7265;6709;6529;11178;.;2282;18,67;198;995,91;1378,2;3205;.;7814;1065;1018;212;51,1;31,5;1,8;7,3
130170;AM;33071,79;10;0,605;10558;2005;2463;5697,25;23204;21023;16575;34183;203;6874;72,86;287,14;765,12;2254,06;13948;58;22981;4494;5370;1301;25;16,9;2,9;9,7
130180;AM;12044,702;6;0,481;3653;576;349;4362,21;11355;10899;5926;17921;.;2565;71,43;150;657,36;1404,52;6290;.;11761;1432;1688;213;53,4;38,4;2,8;4,8
130185;AM;2214,251;13;0,613;11000;2415;3747;7955,59;20996;19785;15507;22491;42;13443;227,5;224,4;1642,33;1533,85;13443;6;20718;4909;4408;786;20,8;13,2;3,8;11,3
130190;AM;8892,038;11;0,644;21005;5064;9553;11005,24;44426;42413;34634;54239;327;26675;170;303,75;1272,39;1900,48;31030;28;40405;11206;12272;2421;12,4;9,1;3,6;11,7
130195;AM;25275,925;3;0,477;2689;332;375;6426,41;4236;3802;3369;6082;.;1155;19,14;122,5;267,54;1637,51;1739;.;5039;383;234;111;60;37,7;2,3;5,9
130200;AM;4231,152;4;0,654;2154;667;1996;6661,12;4299;3912;3386;4766;4;2754;0;230,8;531,67;1938,23;2674;30;3565;1098;1374;206;9,6;8,5;4,5;7,7
130210;AM;55791,837;6;0,522;1828;419;50;5113,49;3835;3491;3438;4329;10;2416;117,25;223,33;1561,79;1396,04;2266;2;4288;651;280;105;34,1;28;3,2;7,5
130220;AM;19400,697;3;0,522;3181;507;699;4547,67;5548;5254;4942;7281;.;2809;129;182;1124,75;1388,34;4095;.;6150;715;737;108;40,2;33,7;3;9
130230;AM;69551,829;6;0,516;5642;778;638;4924,03;9432;8560;7509;9724;.;5875;33,33;166,67;632,36;1792,5;6232;9;9553;1398;893;237;45,1;28,1;2,7;7,9
130240;AM;68233,824;14;0,531;9158;1719;1497;7458,23;19638;18063;13404;27093;.;7800;100;190;1028,33;1225,62;13840;13;21554;2859;2881;580;41,3;28,6;2,9;9,2
130250;AM;7330,075;24;0,614;21536;5419;5168;7330,74;43461;41680;31209;45538;195;31357;158,33;282,86;1163,73;1831,33;29621;37;42789;10068;10647;1356;21,9;15,6;3,2;10,6
130255;AM;3975,77;3;0,596;3980;895;688;5359,45;11744;11057;9331;13875;21;5736;142;255;1001,08;1795,95;7509;.;11364;3216;1970;233;22,9;10,6;2,8;5,7
130260;AM;11401,092;363;0,737;360754;97791;534677;26961,15;879742;922272;666515;967270;13274;640785;170;418;971,4;3118,67;741588;1348;605576;260377;480697;112230;6,1;3,8;3;15,6
130270;AM;48282,664;13;0,582;10630;2259;1684;7731,76;24684;22333;18801;36607;.;8209;134,44;252,5;1304,23;1872,31;16953;38;24996;5104;4411;929;27,2;16,8;3,3;7,5
130280;AM;16910,373;7;0,498;4050;566;714;4796,93;9407;8121;7943;10557;.;4488;16,5;128,8;687,86;1394,39;4417;.;9496;1543;1081;147;36,5;18,1;2;3,9
130290;AM;39989,886;5;0,588;13915;2516;3108;5305,9;27283;24953;22562;37823;9;12331;69,11;243,33;797,42;1847,91;18810;27;26100;5994;4327;1185;15,4;10,3;3,7;7,7
130300;AM;14105,585;5;0,586;4019;1058;1031;3952,25;9496;8782;7027;16173;15;2018;65;233,33;592,84;1748,32;5217;.;9299;2203;1824;315;15,5;8,9;3;7
130310;AM;5608,565;5;0,558;6711;1354;1303;4922,42;15748;14948;12266;21652;22;7851;78,57;231,43;867,99;1743,4;12119;26;17037;3058;2374;503;24,2;12,8;3,9;7,6
130320;AM;37771,378;6;0,57;2451;611;817;4750,31;7607;7116;4925;8097;.;4557;56;255;746,82;1514,81;4954;.;7866;1348;1501;404;20,2;15,5;4;8,8
130330;AM;41187,892;7;0,554;4660;689;927;4853,81;11429;10022;7687;15575;.;4791;76,43;200;878,57;1404,9;7906;10;11767;1885;2371;332;28,8;19,8;3,2;7,3
130340;AM;5952,39;19;0,658;22019;7769;8481;6617,43;52304;49729;42027;83487;54;16167;92,5;263,33;771,81;1943,81;34554;244;42589;15608;15660;3361;9,4;6;3,7;10,5
130350;AM;41610,058;8;0,496;3887;407;1062;5350,67;9490;8676;6612;13354;.;3249;26,8;170;701,42;1845,99;5976;4;10145;923;1579;255;51,7;29,7;2,6;7,9
130353;AM;25422,333;20;0,647;6353;1482;4911;15808,32;14350;12825;10441;15064;30;8950;275;343;1355,17;1814,56;11131;11;12392;3765;4191;678;12,1;7,2;2,6;9,6
130356;AM;5813,225;11;0,611;4386;1092;1938;8652,5;13406;12313;8668;13735;44;8822;202,18;297;1252,72;1628,31;9493;.;12397;3707;3605;313;19,2;11,2;2,6;7,6
130360;AM;62846,408;2;0,479;2871;576;252;4112,11;9322;8824;4530;10482;.;1577;0;200;802,6;1572,86;4651;6;9211;1509;1363;237;37,3;33,1;2,1;6,1
130370;AM;12307,193;5;0,49;5990;934;588;4042,03;12592;11889;9665;12331;.;11153;16;117,64;661,95;1109,08;6561;.;13588;1838;1695;219;41,7;21,3;2;4,6
130380;AM;109183,434;24;0,609;11564;2380;2650;4722,09;19463;18433;14743;25354;94;9509;12,22;275;726,9;3245,82;10469;.;18417;4384;4354;740;23,2;14,7;2,4;7,6
130390;AM;19745,898;4;0,521;9043;1432;828;4130,42;16266;15156;12235;15969;.;13694;33,5;161,43;691,75;1438,99;12053;31;16678;2809;3015;257;41,5;22,9;2,3;4,1
130395;AM;10741,08;5;0,577;2106;558;405;4665,65;5680;5025;4276;5806;.;4212;127,14;248,28;996,71;1797,22;4180;.;5321;1294;1167;103;13,2;10,2;3,5;5,6
130400;AM;3748,833;6;0,632;2235;431;525;7062,27;4498;3946;3373;6413;.;1843;131;223;1012,43;1397,15;2666;21;3642;1276;1005;239;11,6;7,8;4,1;5,6
130406;AM;3224,875;10;0,616;13174;2919;2613;4441,04;26359;25913;21889;29420;121;15201;61,71;255;761,52;2131,25;16858;84;23285;6159;7457;1307;21,7;14,4;2,6;10,8
130410;AM;89325,192;8;0,502;4130;669;1087;5576,84;10075;9002;6986;9403;.;7959;50;200;657,83;1247,82;7744;13;10849;1575;1268;278;46;31;2,6;7,2
130420;AM;23704,475;29;0,639;16176;3082;4489;6024,62;31518;29935;25489;35482;156;20742;120;280,75;853,61;2353,65;19814;116;28726;6772;7467;2132;20,6;14,2;2,8;9
130423;AM;6432,677;4;0,548;3796;838;256;4878,11;8777;8302;7653;12487;.;3796;81,6;228;866,43;1732,04;5294;17;9025;1688;1233;321;30,6;19,9;1,8;4,2
130426;AM;10246,237;4;0,527;4288;408;80;8632,08;6332;5559;5051;7792;.;3578;122,4;169,4;1122,61;1442,05;4890;.;6434;732;853;139;32;18,9;2,7;5,8
130430;AM;27904,26;7;0,62;3271;1032;946;6348,07;8854;8240;6606;12435;.;4052;86,4;204;725,92;1604,38;5638;5;7399;2293;2436;282;13,4;8;3,4;5,7
130440;AM;2906,701;5;0,588;3590;757;671;4805,41;9529;8308;6808;12404;.;4682;72,86;214,83;795,07;1600,55;6173;20;9022;2238;1870;206;13,2;9,2;4,3;6,8
140002;RR;28472,328;26;0,484;1971;227;266;9075,37;4992;4335;2428;3886;8;1406;13;255;753,1;1368,63;1466;.;5131;559;631;48;28,2;38,7;3,1;11,5
140005;RR;25567,015;31;0,542;2828;515;740;10079,54;8676;7772;4321;7014;.;2736;0;279,25;961,06;1736,39;5538;6;8543;1247;1402;258;19,1;40,1;3,5;10,5
140010;RR;5687,036;71;0,752;54096;14504;91929;16393,48;140801;143512;108656;132491;3915;91378;204;500;1308,83;2943,64;121062;667;92404;40120;75577;20066;8,7;5,8;2,9;17,1
140015;RR;8095,42;21;0,626;2876;491;615;10988,03;5879;5064;4382;6671;11;2821;114,29;255;1713,6;1622,23;3661;.;5235;1203;1024;237;22,1;13,3;3,5;9
140017;RR;7664,831;18;0,619;3540;579;683;11831,71;7538;6364;5680;8333;58;4119;166,8;314,8;1357,86;1400,06;3924;.;7130;1478;1474;311;26;17,2;5,4;8
140020;RR;47411,034;23;0,624;4161;807;1526;9862,2;9732;8666;6978;10182;.;5721;170;290;1021,1;1678,49;6156;39;9070;2184;2471;413;22,8;13,3;3,5;10,4
