Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
320260;ES;203,528;10;0,729;1521;421;5401;12878,87;6409;6114;2963;10331;6;1916;384;585,4;1411,62;2500,16;6592;178;6129;1715;2532;681;11,7;8,3;1,8;9,5
320265;ES;184,547;7;0,637;1988;427;1283;8993,6;6030;5693;3147;5274;251;4477;255;510;1073,65;2207;6224;85;6989;1268;1106;420;22,6;18,9;2;8,7
320270;ES;531,499;15;0,702;1809;471;1630;10032,69;7197;6937;3270;8909;17;4766;387,5;510;1350,68;1755,46;7537;45;7405;1988;2375;591;15,5;13,4;2,2;11,2
320280;ES;561,872;19;0,654;5255;967;5564;26014,12;15535;15453;8949;10969;100;13365;306,67;362,5;1068,93;1617,44;10140;143;16722;4213;4186;728;16;11,6;1,7;10,3
320290;ES;298,76;11;0,684;1430;367;1162;9539,78;5456;5425;2615;6844;48;3701;404;570;1721,45;2302,83;6425;62;5903;1602;1378;587;13,9;10,1;2,2;10,8
320300;ES;461,077;17;0,666;4544;945;3431;8514,01;13640;13688;7320;13534;597;9470;255;436,67;1234,51;1822,2;13080;302;14990;3561;3130;1250;20,1;15,3;2;12
320305;ES;659,751;12;0,678;4631;1098;2888;16018,71;12468;12210;7600;17383;.;5629;333,33;405;1413,46;2129,83;11524;153;12940;3305;3378;789;18,6;13,7;1,9;11,3
320310;ES;161,98;11;0,698;1597;307;1104;7216,13;5292;5587;3032;6447;234;3031;255;510;1062,9;1944,71;3837;92;5588;1451;1798;557;16,5;13,1;2,3;14,7
320313;ES;284,734;17;0,753;2034;379;3374;13237,04;7811;7998;4254;11532;92;3415;300;616,67;1569,88;2991,78;5015;244;6833;2025;3849;1012;11,5;7,7;2;13,9
320316;ES;458,369;8;0,656;1371;428;943;7493,56;5524;5302;2625;2793;.;7779;302,5;470;1150,05;1483,93;5634;.;6758;1361;1233;232;17,3;13,2;2,3;7,4
320320;ES;3504,137;52;0,724;23150;5098;41010;19187,99;70415;70891;42363;81425;602;42697;300;533,33;1209,52;2571,29;65991;968;61661;19881;27776;7871;13,9;9,6;2,3;13,5
320330;ES;321,422;7;0,657;2035;563;1250;6417,98;6805;6807;3864;5835;70;5042;243,33;375;975,16;1492,86;5499;11;7792;1768;1631;366;23;18,6;2,3;13,2
320332;ES;133,075;17;0,696;5537;1019;4332;13810,79;16876;17264;10010;12048;322;16067;204;424;898,39;1948,09;11562;201;16641;5216;5482;1614;13,6;9,8;1,8;11,8
320334;ES;285,379;8;0,71;2208;599;3289;13969,16;7260;7002;3642;9750;32;3861;427,5;562;1662,92;2579,56;6901;102;7385;2180;2038;566;13,9;9,6;2;10,2
